City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Margate,GB,51.3813,1.3862,66.87,82,20,4.0,few clouds
79,Sioux Lookout,CA,50.1001,-91.917,78.87,53,40,12.66,scattered clouds
80,Aklavik,CA,68.2191,-135.0107,50.0,81,75,13.8,broken clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,87,75,13.8,broken clouds
82,Mar Del Plata,AR,-38.0023,-57.5575,55.09,96,100,6.91,overcast clouds
83,Kruisfontein,ZA,-34.0033,24.7314,55.02,59,0,2.91,clear sky
84,Cape Town,ZA,-33.9258,18.4232,56.1,89,0,5.99,clear sky
85,Ponta Do Sol,PT,32.6667,-17.1,72.23,81,6,6.64,clear sky
86,Craig,US,40.5153,-107.5464,87.75,25,20,19.57,few clouds
87,Constancia,MX,24.2231,-107.1869,92.37,50,37,9.51,scattered clouds
88,Bathurst,AU,-33.4166,149.5806,50.83,91,91,4.34,overcast clouds
89,Rawson,AR,-43.3002,-65.1023,48.54,49,0,10.09,clear sky
90,Kavaratti,IN,10.5669,72.642,78.03,84,100,27.96,light rain
91,Bluff,NZ,-46.6,168.3333,44.8,75,52,34.34,broken clouds
92,Kirakira,SB,-10.4544,161.9205,81.0,81,100,9.69,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,45.93,73,93,6.8,overcast clouds
94,Kaitangata,NZ,-46.2817,169.8464,50.47,67,42,16.46,scattered clouds
95,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,65.93,48,9,11.01,clear sky
96,Oranjemund,NA,-28.55,16.4333,53.51,88,5,6.4,clear sky
97,Mehamn,NO,71.0357,27.8492,53.51,100,100,3.44,fog
98,Kavieng,PG,-2.5744,150.7967,81.66,76,31,14.58,scattered clouds
99,Lebu,CL,-37.6167,-73.65,50.11,73,0,15.75,clear sky
100,Ozinki,RU,51.1786,49.6769,69.26,57,0,8.01,clear sky
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,84,44,11.65,scattered clouds
102,Constitucion,CL,-35.3333,-72.4167,54.37,64,0,13.0,clear sky
103,Muros,ES,42.7762,-9.0603,71.69,78,5,10.31,clear sky
104,Barrow,US,71.2906,-156.7887,47.05,55,81,12.5,broken clouds
105,Wote,KE,-1.7808,37.6288,63.05,68,83,4.18,broken clouds
106,Ilhabela,BR,-23.7781,-45.3581,67.64,88,2,3.38,clear sky
107,Provideniya,RU,64.3833,-173.3,51.91,82,0,8.95,clear sky
108,Coolum Beach,AU,-26.5333,153.1,57.34,99,81,2.64,broken clouds
109,Leshukonskoye,RU,64.8989,45.7622,60.24,76,99,7.43,overcast clouds
110,Ahipara,NZ,-35.1667,173.1667,56.3,87,100,4.61,overcast clouds
111,Gat,IL,31.61,34.7642,83.39,59,2,3.6,clear sky
112,New Norfolk,AU,-42.7826,147.0587,51.93,78,100,3.0,overcast clouds
113,Khatanga,RU,71.9667,102.5,43.66,72,100,5.46,overcast clouds
114,Shubarkuduk,KZ,49.1447,56.4872,71.47,52,3,5.55,clear sky
115,Amapa,BR,1.0,-52.0,77.22,88,99,4.25,moderate rain
116,Port Hardy,CA,50.6996,-127.4199,64.58,72,75,9.22,broken clouds
117,Port Alfred,ZA,-33.5906,26.891,65.88,56,61,7.27,broken clouds
118,Portree,GB,57.4129,-6.1942,56.52,95,100,18.95,light rain
119,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,5.75,broken clouds
120,Canchungo,GW,12.0672,-16.0333,77.13,88,59,5.79,broken clouds
121,Libertador General San Martin,AR,-23.8064,-64.7876,79.97,38,0,4.41,clear sky
122,Charters Towers,AU,-20.1,146.2667,60.98,93,44,9.46,scattered clouds
123,Jamestown,US,42.097,-79.2353,77.05,50,75,8.05,broken clouds
124,Freeport,US,40.6576,-73.5832,93.31,59,0,11.5,clear sky
125,Airai,TL,-8.9266,125.4092,55.15,59,45,1.95,scattered clouds
126,Nome,US,64.5011,-165.4064,69.12,46,0,10.36,clear sky
127,Naze,JP,28.3667,129.4833,79.72,86,62,7.92,broken clouds
128,Atuona,PF,-9.8,-139.0333,77.11,77,1,17.54,clear sky
129,Zhigansk,RU,66.7697,123.3711,46.36,67,80,16.98,broken clouds
130,Xining,CN,36.6167,101.7667,63.36,75,58,1.32,broken clouds
131,Yamada,JP,39.4667,141.95,71.53,99,100,3.33,moderate rain
132,Pasighat,IN,28.0667,95.3333,77.52,87,98,2.48,overcast clouds
133,Sorland,NO,67.667,12.6934,53.46,73,4,12.3,clear sky
134,Hay River,CA,60.8156,-115.7999,67.98,49,20,6.91,few clouds
135,Caravelas,BR,-17.7125,-39.2481,70.29,83,16,5.17,few clouds
136,Vanderhoof,CA,54.0166,-124.0198,64.78,48,99,8.97,overcast clouds
137,Nikolskoye,RU,59.7035,30.7861,62.8,91,65,4.07,broken clouds
138,Tres Arroyos,AR,-38.3739,-60.2798,57.27,57,100,3.22,overcast clouds
139,Xinzhou,CN,38.4092,112.7333,70.81,87,26,0.45,scattered clouds
140,Havelock,US,34.8791,-76.9013,94.95,74,20,10.36,few clouds
141,Cayenne,GF,4.9333,-52.3333,84.09,1,20,2.3,few clouds
142,Kozmodemyansk,RU,56.3367,46.5711,61.07,80,93,2.93,overcast clouds
143,Ponta Delgada,PT,37.7333,-25.6667,74.12,78,75,4.61,broken clouds
144,Ust-Kulom,RU,61.6864,53.6902,57.52,80,3,2.46,clear sky
145,Husavik,IS,66.0449,-17.3389,45.5,97,100,15.95,overcast clouds
146,East London,ZA,-33.0153,27.9116,65.53,62,85,6.67,overcast clouds
147,Viedma,AR,-40.8135,-62.9967,52.03,65,2,8.55,clear sky
148,Imbituba,BR,-28.24,-48.6703,64.09,95,7,6.55,clear sky
149,Lakes Entrance,AU,-37.8811,147.981,54.16,63,53,10.18,broken clouds
150,Ugoofaaru,MV,5.6667,73.0,81.07,77,93,21.39,overcast clouds
151,Pevek,RU,69.7008,170.3133,35.78,99,100,8.43,moderate rain
152,Qaanaaq,GL,77.484,-69.3632,47.1,57,97,0.76,overcast clouds
153,Bredasdorp,ZA,-34.5322,20.0403,49.96,85,53,2.44,broken clouds
154,Teguldet,RU,57.3064,88.1667,53.78,71,100,4.99,overcast clouds
155,Esperance,AU,-33.8667,121.9,50.7,66,36,33.04,scattered clouds
156,Mantua,IT,45.1667,10.7833,79.84,69,7,1.01,clear sky
157,Houma,US,29.5958,-90.7195,86.0,79,0,0.0,clear sky
158,Isangel,VU,-19.55,169.2667,80.71,89,75,3.44,broken clouds
159,Iracoubo,GF,5.4802,-53.2011,80.55,83,90,10.69,overcast clouds
160,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,100,8.05,overcast clouds
161,Touros,BR,-5.1989,-35.4608,77.05,83,50,7.94,scattered clouds
162,Sibu,MY,2.3,111.8167,75.51,88,40,3.44,scattered clouds
163,Kysyl-Syr,RU,63.8986,122.7617,53.35,71,20,6.13,few clouds
164,Saint-Augustin,CA,51.226,-58.6502,68.86,79,75,19.66,broken clouds
165,Marienburg,PL,54.0359,19.0266,63.88,72,99,5.01,overcast clouds
166,Belmonte,BR,-15.8631,-38.8828,72.21,81,10,5.95,clear sky
167,Outram,MY,1.2829,103.8379,77.18,94,75,1.14,broken clouds
168,Port Keats,AU,-14.25,129.55,69.87,84,13,0.83,few clouds
169,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,9.22,broken clouds
170,Aksarka,RU,66.5606,67.7975,56.08,70,46,8.05,scattered clouds
171,Japura,ID,-0.3167,102.35,73.26,99,100,2.42,overcast clouds
172,Iqaluit,CA,63.7506,-68.5145,47.93,65,75,8.05,broken clouds
173,Cervo,ES,43.6702,-7.4101,66.96,92,88,9.15,overcast clouds
174,Villarrica,PY,-25.75,-56.4333,77.25,55,0,3.38,clear sky
175,Saint George,US,37.1041,-113.5841,99.43,27,0,11.5,clear sky
176,Petrodvorets,RU,59.885,29.8958,62.89,81,73,7.7,broken clouds
177,Kaeo,NZ,-35.1,173.7833,54.32,96,100,3.22,overcast clouds
178,Laguna,US,38.421,-121.4238,102.76,35,0,9.22,clear sky
179,Aykhal,RU,66.0,111.5,43.23,97,100,19.89,light rain
180,Hasaki,JP,35.7333,140.8333,81.28,92,81,8.61,broken clouds
181,Raga,SS,8.4596,25.678,69.04,95,42,3.15,scattered clouds
182,Maple Creek,CA,49.9168,-109.4848,77.41,29,1,18.41,clear sky
183,Sembe,CG,1.6481,14.5806,75.29,71,82,2.39,broken clouds
184,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,74,74,2.24,broken clouds
185,Katsuura,JP,35.1333,140.3,80.67,92,88,11.25,overcast clouds
186,Vanimo,PG,-2.6741,141.3028,77.59,88,89,6.96,overcast clouds
187,Leningradskiy,RU,69.3833,178.4167,57.04,53,100,7.0,overcast clouds
188,Qandala,SO,11.472,49.8728,89.82,51,1,13.67,clear sky
189,Sao Filipe,CV,14.8961,-24.4956,78.33,80,76,5.53,light rain
190,Cururupu,BR,-1.8283,-44.8683,77.99,80,23,5.32,few clouds
191,Samarai,PG,-10.6167,150.6667,81.09,83,41,12.73,scattered clouds
192,Fare,PF,-16.7,-151.0167,78.4,64,5,22.3,clear sky
193,Chumikan,RU,54.7183,135.315,54.25,99,100,8.48,light rain
194,Faya,SA,18.3851,42.4509,62.71,76,97,3.33,overcast clouds
195,Avarua,CK,-21.2078,-159.775,77.05,53,75,13.8,broken clouds
196,Bend,US,44.0582,-121.3153,92.48,30,0,8.05,clear sky
197,Askino,RU,56.0901,56.5783,57.06,89,32,6.55,scattered clouds
198,Bengkulu,ID,-3.8004,102.2655,74.25,92,39,4.45,moderate rain
199,Igarka,RU,67.4667,86.5833,40.73,92,0,8.72,clear sky
200,Natal,BR,-5.795,-35.2094,77.22,94,75,5.75,broken clouds
201,Rantauprapat,ID,2.1,99.8333,72.66,97,100,2.15,overcast clouds
202,Zyryanka,RU,65.75,150.85,62.69,91,100,14.05,light rain
203,Guerrero Negro,MX,27.9769,-114.0611,80.96,52,100,18.9,overcast clouds
204,Quang Ngai,VN,15.1167,108.8,76.66,90,89,3.38,light rain
205,Manado,ID,1.487,124.8455,74.17,94,20,2.3,few clouds
206,Mukilteo,US,47.9445,-122.3046,83.61,62,40,8.05,scattered clouds
207,Kandrian,PG,-6.2167,149.55,79.3,86,80,8.1,broken clouds
208,Kodiak,US,57.79,-152.4072,65.71,48,20,17.27,few clouds
209,Chernyy Yar,RU,48.0624,46.1091,80.04,34,35,7.18,scattered clouds
210,Hermon,US,44.8101,-68.9134,82.35,65,40,18.41,scattered clouds
211,Akyab,MM,20.15,92.9,81.68,83,100,5.5,overcast clouds
212,Yar-Sale,RU,66.8333,70.8333,55.92,65,11,7.16,few clouds
213,Ritchie,ZA,-29.038,24.6028,52.81,73,100,10.65,light rain
214,Jiaohe,CN,43.7286,127.3447,70.83,95,15,1.63,few clouds
215,Quibor,VE,9.9287,-69.6201,76.17,39,94,12.53,overcast clouds
216,Mandalgovi,MN,45.7625,106.2708,70.14,54,4,4.61,clear sky
217,Bethel,US,41.3712,-73.414,89.69,51,0,10.36,clear sky
218,Barreirinhas,BR,-2.7469,-42.8264,78.75,76,40,7.63,scattered clouds
219,Dasoguz,TM,41.8363,59.9666,80.55,36,0,11.5,clear sky
220,Zeya,RU,53.75,127.2667,62.6,92,68,2.08,broken clouds
221,Kampli,IN,15.4,76.6167,78.19,79,100,5.3,overcast clouds
222,Petapa,GT,14.5028,-90.5517,81.25,60,75,13.8,broken clouds
223,Alabaster,US,33.2443,-86.8164,91.71,65,0,1.01,clear sky
224,Mumford,GH,5.2618,-0.759,72.46,85,17,10.22,few clouds
225,Nizhniy Kuranakh,RU,58.8353,125.4869,62.46,90,94,2.44,overcast clouds
226,Leticia,CO,-4.2153,-69.9406,84.25,74,75,5.75,broken clouds
227,Merauke,ID,-8.4667,140.3333,75.99,91,65,8.93,broken clouds
